DATE,FG,moving_average_FG
20200101,34.06881903143585,0.0
20200102,38.82878830475119,0.0
20200103,39.90480202190396,0.0
20200104,43.412394366197184,0.0
20200105,37.170662905500706,0.0
20200106,32.88772919605078,0.0
20200107,36.34716769489624,0.0
20200108,39.67331460674157,0.8006422250436813
20200109,34.84621872364352,-0.5689385115868077
20200110,30.31444600280505,-1.3700508598712773
20200111,38.07681445919232,-0.7622257010006948
20200112,35.91137454134914,-0.179898337735942
20200113,34.15637282425604,0.18123480402932302
20200114,39.09221253865617,0.39214926339428047
20200115,37.513217097862764,-0.3085853584112641
20200116,34.72658227848101,-0.017090920737501847
20200117,31.96764209341587,0.236170870087264
20200118,30.661581920903956,-1.059318934041194
20200119,31.89586870401811,-0.5736436910472875
20200120,37.50084364454443,0.4777815457554837
20200121,38.37953331459095,-0.10181131772360885
20200122,34.71299689878771,-0.4000314570107193
20200123,33.64237478897017,-0.15488678421583302
20200124,31.88876404494382,-0.011268292638867194
20200125,28.375176304654442,-0.32662937374993106
20200126,29.298389375529812,-0.3710684754983262
20200127,31.497754070746772,-0.857584224828237
20200128,39.10820685778527,0.10409622045633427
20200129,37.559955068800896,0.406708310001882
20200130,37.858426966292136,0.6022931681888508
20200131,41.720629567172566,1.4045522174612515
20200201,41.16300056401579,1.8268320370516236
20200202,39.1826406559231,1.4120358971990328
20200203,41.14659538548115,1.378405902104916
20200204,43.635621834552616,0.6467735681096158
20200205,48.529775280898875,1.5671171731568592
20200206,34.87633202467751,-0.4260135630877997
20200207,32.918835712286594,-1.2573991221265715
20200208,33.30582659604126,-1.1224534239963617
20200209,49.11583659764969,1.4190279916752289
20200210,57.396489272777934,2.3214134124709602
20200211,54.541143654114364,1.5579316885088303
20200212,43.37621832358674,-0.7362224224731619
20200213,36.09199555308505,0.17366621834393214
20200214,32.81851028349083,-0.014332204113678415
20200215,36.693917410714285,0.4840129735247132
20200216,48.070789031897036,-0.14929250939323424
20200217,47.77203224909647,-1.3749224319545021
20200218,43.86131183991106,-1.5256902591718955
20200219,36.188506385341476,-1.026815991177891
20200220,39.062777777777775,0.4243974606703844
20200221,48.997777160322315,2.311323839547356
20200222,48.86595922926557,1.738863116935903
20200223,49.61648444070648,0.22081362982991948
20200224,40.92352614015573,-0.9783580155629679
20200225,39.142141863699585,-0.6741671394587812
20200226,40.78720445062587,0.6569568664692014
20200227,39.47736739794502,0.059227088595314115
20200228,38.809947207557656,-1.4554042789663697
20200229,43.981813094571905,-0.697735162099093
20200301,41.845787853344525,-1.1100995124802822
20200302,41.12311977715878,0.028513376714720096
20200303,36.698244636388964,-0.3491281753300868
20200304,33.001113895850736,-1.1122986506821633
20200305,32.313490959666204,-1.023410919754113
20200306,34.668243807403286,-0.5916719143077671
20200307,36.4620979020979,-1.0742450274962962
20200308,37.92853139013453,-0.5596080661728493
20200309,33.95231455660903,-1.0244007457928248
20200310,40.3792142658122,0.5258528042033177
20200311,41.160913140311806,1.1656856063515804
20200312,45.05072463768116,1.8196048111449912
20200313,42.34803237510466,1.0971126525287715
20200314,35.33071748878924,-0.16162577332980277
20200315,41.32061711079944,0.48458367438070127
20200316,36.627511160714285,0.3821709434436116
20200317,35.30314850933408,-0.7251522509254542
20200318,32.801058790749515,-1.1942649070803242
20200319,28.46338067390699,-2.3696205662534524
20200320,29.157894736842106,-1.8843053768946518
20200321,36.08,0.107040358744392
20200322,42.220670391061454,0.1285790400374296
20200323,45.16601779755284,1.219786662405511
20200324,46.12614870509607,1.546142885108857
20200325,41.52662391971006,1.2465093041372128
20200326,38.224881714444756,1.3945001486482553
20200327,33.516425389755014,0.622647236130419
20200328,35.453146853146855,-0.0895504495504511
20200329,39.50307778399552,-0.3882275152951351
20200330,37.40373363053775,-1.1088977381450036
20200331,36.68402004454343,-1.3488755229360976
20200401,33.39329608938547,-1.1619039757606586
20200402,37.16996929946972,-0.1507017735678602
20200403,36.05206013363029,0.3622335348393264
20200404,31.764063811922753,-0.5270118630320155
20200405,36.46569588350602,-0.4339117000699275
20200406,35.49331848552338,-0.27291644928777004
20200407,33.34670008354219,-0.47675999442874684
20200408,32.56832730308934,-0.1178526837565812
20200409,30.864472950362522,-0.9007851927296073
20200410,28.1350823332403,-1.13099682862714
20200411,26.635595606871306,-0.7326383150073497
20200412,34.356341189674524,-0.3013363848330677
20200413,46.18709677419355,1.5276826126671672
20200414,38.96481429768221,0.8025877448771439
20200415,37.023995535714285,0.6365240332321278
20200416,34.59771714922049,0.5333205998368555
20200417,33.11782729805014,0.7118207092585465
20200418,27.193900391717964,0.07975782640667006
20200419,30.11543849817876,-0.6058432416422548
20200420,36.39470013947001,-1.3989138049605074
20200421,37.90303705767623,-0.15168246285799114
20200422,33.11854951185495,-0.5579208605513344
20200423,27.36931659693166,-1.032628650326977
20200424,29.800893605138228,-0.47384767041598863
20200425,35.06934306569343,1.1250632391393545
20200426,26.083333333333332,-0.5760150235493455
20200427,26.194591580708114,-1.4571583655374134
20200428,28.04500978473581,-1.4082896104200593
20200429,32.79737283398547,-0.04588238255278654
20200430,33.90898414562537,0.9342382212419587
20200501,32.52714045886962,0.3894638362473408
20200502,29.658330991851642,-0.7730017248345433
20200503,29.326869027543562,0.46336224203003695
20200504,29.239966555183948,0.43505356778225845
20200505,33.74338255781555,0.8140532532971072
20200506,37.17128388442061,0.6248444357764491
20200507,32.85276927358753,-0.15088783886254475
20200508,25.926421404682273,-0.9429598648839104
20200509,26.2082399103139,-0.49287015450538973
20200510,32.32137853740544,0.4277870728374076
