DATE,TG,moving_average,TG_lag_1,TG_lag_2,TG_lag_3,TG_lag_4,TG_lag_5,TG_lag_6,TG_lag_7
20200101,16.695712309820195,0.0,,,,,,,
20200102,23.308889657557938,0.0,16.695712309820195,,,,,,
20200103,25.896903649887562,0.0,23.308889657557938,16.695712309820195,,,,,
20200104,19.14766614610446,0.0,25.896903649887562,23.308889657557938,16.695712309820195,,,,
20200105,11.841490138787437,0.0,19.14766614610446,25.896903649887562,23.308889657557938,16.695712309820195,,,
20200106,13.666910956394284,0.0,11.841490138787437,19.14766614610446,25.896903649887562,23.308889657557938,16.695712309820195,,
20200107,24.693852813852814,0.0,13.666910956394284,11.841490138787437,19.14766614610446,25.896903649887562,23.308889657557938,16.695712309820195,
20200108,36.3248572911261,2.804163568757989,24.693852813852814,13.666910956394284,11.841490138787437,19.14766614610446,25.896903649887562,23.308889657557938,16.695712309820195
20200109,34.709738799515655,1.6286927345653872,36.3248572911261,24.693852813852814,13.666910956394284,11.841490138787437,19.14766614610446,25.896903649887562,23.308889657557938
20200110,19.669375756527753,-0.8896468419085473,34.709738799515655,36.3248572911261,24.693852813852814,13.666910956394284,11.841490138787437,19.14766614610446,25.896903649887562
20200111,21.533192463461877,0.340789473908206,19.669375756527753,34.709738799515655,36.3248572911261,24.693852813852814,13.666910956394284,11.841490138787437,19.14766614610446
20200112,19.740727206285403,1.1284624382139938,21.533192463461877,19.669375756527753,34.709738799515655,36.3248572911261,24.693852813852814,13.666910956394284,11.841490138787437
20200113,17.460036496350366,0.5418750771365843,19.740727206285403,21.533192463461877,19.669375756527753,34.709738799515655,36.3248572911261,24.693852813852814,13.666910956394284
20200114,29.62116788321168,0.7039021527655507,17.460036496350366,19.740727206285403,21.533192463461877,19.669375756527753,34.709738799515655,36.3248572911261,24.693852813852814
20200115,37.28193430656934,0.1367252879204628,29.62116788321168,17.460036496350366,19.740727206285403,21.533192463461877,19.669375756527753,34.709738799515655,36.3248572911261
20200116,33.94453084499741,-0.10931542207403666,37.28193430656934,29.62116788321168,17.460036496350366,19.740727206285403,21.533192463461877,19.669375756527753,34.709738799515655
20200117,28.569156293222683,1.2713972195278522,33.94453084499741,37.28193430656934,29.62116788321168,17.460036496350366,19.740727206285403,21.533192463461877,19.669375756527753
20200118,15.37201963534362,-0.8801675468740413,28.569156293222683,33.94453084499741,37.28193430656934,29.62116788321168,17.460036496350366,19.740727206285403,21.533192463461877
20200119,8.983695652173912,-1.5367187934444964,15.37201963534362,28.569156293222683,33.94453084499741,37.28193430656934,29.62116788321168,17.460036496350366,19.740727206285403
20200120,16.87712532865907,-0.08327302395590053,8.983695652173912,15.37201963534362,28.569156293222683,33.94453084499741,37.28193430656934,29.62116788321168,17.460036496350366
20200121,14.247724089635854,-2.1962062562251177,16.87712532865907,8.983695652173912,15.37201963534362,28.569156293222683,33.94453084499741,37.28193430656934,29.62116788321168
20200122,10.526061442871937,-3.82226755195677,14.247724089635854,16.87712532865907,8.983695652173912,15.37201963534362,28.569156293222683,33.94453084499741,37.28193430656934
20200123,13.469652429534843,-2.9249826307803684,10.526061442871937,14.247724089635854,16.87712532865907,8.983695652173912,15.37201963534362,28.569156293222683,33.94453084499741
20200124,11.841450777202073,-2.3896722165743736,13.469652429534843,10.526061442871937,14.247724089635854,16.87712532865907,8.983695652173912,15.37201963534362,28.569156293222683
20200125,10.716756008991872,-0.6650376609073909,11.841450777202073,13.469652429534843,10.526061442871937,14.247724089635854,16.87712532865907,8.983695652173912,15.37201963534362
20200126,15.593208593208594,0.9442161344335265,10.716756008991872,11.841450777202073,13.469652429534843,10.526061442871937,14.247724089635854,16.87712532865907,8.983695652173912
20200127,20.9945215485756,0.5881994599880755,15.593208593208594,10.716756008991872,11.841450777202073,13.469652429534843,10.526061442871937,14.247724089635854,16.87712532865907
20200128,23.82101806239737,1.3676134246802167,20.9945215485756,15.593208593208594,10.716756008991872,11.841450777202073,13.469652429534843,10.526061442871937,14.247724089635854
20200129,19.66349974088789,1.305348328287991,23.82101806239737,20.9945215485756,15.593208593208594,10.716756008991872,11.841450777202073,13.469652429534843,10.526061442871937
20200130,27.356760490416164,1.9838725801259045,19.66349974088789,23.82101806239737,20.9945215485756,15.593208593208594,10.716756008991872,11.841450777202073,13.469652429534843
20200131,45.99154219902825,4.878584488832313,27.356760490416164,19.66349974088789,23.82101806239737,20.9945215485756,15.593208593208594,10.716756008991872,11.841450777202073
20200201,55.3030794165316,6.369474772505676,45.99154219902825,27.356760490416164,19.66349974088789,23.82101806239737,20.9945215485756,15.593208593208594,10.716756008991872
20200202,52.18804034582133,5.227833107516105,55.3030794165316,45.99154219902825,27.356760490416164,19.66349974088789,23.82101806239737,20.9945215485756,15.593208593208594
20200203,41.5586964350018,2.9377392694894624,52.18804034582133,55.3030794165316,45.99154219902825,27.356760490416164,19.66349974088789,23.82101806239737,20.9945215485756
20200204,14.069569931333575,-1.3930640187234076,41.5586964350018,52.18804034582133,55.3030794165316,45.99154219902825,27.356760490416164,19.66349974088789,23.82101806239737
20200205,9.848162824207494,-1.4021909880971961,14.069569931333575,41.5586964350018,52.18804034582133,55.3030794165316,45.99154219902825,27.356760490416164,19.66349974088789
20200206,8.092449089926113,-2.752044485784296,9.848162824207494,14.069569931333575,41.5586964350018,52.18804034582133,55.3030794165316,45.99154219902825,27.356760490416164
20200207,12.284400360685302,-4.815305976906135,8.092449089926113,9.848162824207494,14.069569931333575,41.5586964350018,52.18804034582133,55.3030794165316,45.99154219902825
20200208,20.627097239761863,-4.953711739538537,12.284400360685302,8.092449089926113,9.848162824207494,14.069569931333575,41.5586964350018,52.18804034582133,55.3030794165316
20200209,38.527207207207205,-1.9515475912305895,20.627097239761863,12.284400360685302,8.092449089926113,9.848162824207494,14.069569931333575,41.5586964350018,52.18804034582133
20200210,51.70534103211837,1.4495206567309395,38.527207207207205,20.627097239761863,12.284400360685302,8.092449089926113,9.848162824207494,14.069569931333575,41.5586964350018
20200211,34.813266041816874,2.963385158640474,51.70534103211837,38.527207207207205,20.627097239761863,12.284400360685302,8.092449089926113,9.848162824207494,14.069569931333575
20200212,21.639834323788943,1.6845244999402063,34.813266041816874,51.70534103211837,38.527207207207205,20.627097239761863,12.284400360685302,8.092449089926113,9.848162824207494
20200213,18.724274644080015,1.518832222021988,21.639834323788943,34.813266041816874,51.70534103211837,38.527207207207205,20.627097239761863,12.284400360685302,8.092449089926113
20200214,22.438760806916427,1.450622920890158,18.724274644080015,21.639834323788943,34.813266041816874,51.70534103211837,38.527207207207205,20.627097239761863,12.284400360685302
20200215,37.24878312601406,2.3745265551788854,22.438760806916427,18.724274644080015,21.639834323788943,34.813266041816874,51.70534103211837,38.527207207207205,20.627097239761863
20200216,59.17940858276235,2.9503144822221685,37.24878312601406,22.438760806916427,18.724274644080015,21.639834323788943,34.813266041816874,51.70534103211837,38.527207207207205
