DATE,CC,moving_average_CC
20200101,3.4566284779050735,0.0
20200102,3.8133547868061144,0.0
20200103,5.44275420336269,0.0
20200104,5.6552845528455284,0.0
20200105,4.164906580016247,0.0
20200106,4.108064516129033,0.0
20200107,5.010342084327765,0.0
20200108,5.1449044585987265,0.24118228295623556
20200109,5.328025477707007,0.21638152727155635
20200110,4.776012708498809,-0.09524878498055411
20200111,5.263754045307444,-0.0559329296482991
20200112,4.02741935483871,-0.01964103216821833
20200113,5.1537242472266245,0.14937996158537015
20200114,5.299920445505171,0.0413683373110576
20200115,4.765687053216839,-0.05417391505455438
20200116,4.033359809372518,-0.1849522383334996
20200117,4.518312101910828,-0.036814372369710746
20200118,6.584142394822006,0.18862690707350893
20200119,5.5880452342487885,0.22294655420143972
20200120,4.948453608247423,-0.029324376997028168
20200121,3.7830940988835726,-0.21668947808880024
20200122,4.375796178343949,-0.055698696410412474
20200123,4.306772908366534,0.0390590141420013
20200124,4.212241653418124,-0.043724349784671546
20200125,5.962873284907183,-0.08875272998783146
20200126,6.373688458434221,0.11223474631220398
20200127,6.150554675118859,0.17172872383877724
20200128,6.752585521081941,0.42421306031405237
20200129,6.527733755942948,0.30741965394271453
20200130,6.043512658227848,0.24810567855161647
20200131,6.487220447284345,0.32499697055231636
20200201,5.497972424979724,-0.06641440856106495
20200202,5.790622473726758,-0.08329514067249466
20200203,5.777513855898654,-0.05329154560288707
20200204,5.831086439333862,-0.13164272596401183
20200205,4.563391442155309,-0.28062033054109126
20200206,3.9420634920634923,-0.3002070237377641
20200207,3.6401906274821285,-0.40671854568603116
20200208,3.6408393866020985,-0.2653047197682321
20200209,4.642394822006472,-0.16403252167432658
20200210,5.940570522979398,0.02329380958296401
20200211,5.854877081681205,0.003398663192476725
20200212,5.365293185419969,0.11455739189495073
20200213,4.787758346581876,0.12081355064548482
20200214,5.445063694267516,0.25783900954076877
20200215,4.9434114793856105,0.18608172754050223
20200216,5.912903225806452,0.18150120054285424
20200217,5.581413820492454,-0.05130810035527844
20200218,4.936608557844691,-0.13118121769092994
20200219,5.535031847133758,0.024248380244826784
20200220,5.180301826846704,0.05607764003783178
20200221,4.868149324861001,-0.0824163384866452
20200222,5.014586709886548,0.010167890071563157
20200223,5.7944760357432985,-0.016918170009021516
20200224,5.046325878594249,-0.0764411345568865
20200225,5.501998401278977,0.08076997763346938
20200226,6.043130990415335,0.07258559189736769
20200227,5.523771790808241,0.049067137708792785
20200228,4.923990498812351,0.00797731056447848
20200229,6.283185840707965,0.18122844726020215
20200301,6.024077046548957,0.03280014440080681
20200302,5.726199842643588,0.0971248520070489
20200303,6.315294117647059,0.1161851023382976
20200304,5.6923076923076925,-0.0501176140153774
20200305,5.171114599686028,-0.05037959873174458
20200306,6.191338582677165,0.18104972626640237
20200307,5.6584,-0.08925512010113756
20200308,4.975160256410256,-0.14984525573410057
20200309,5.745283018867925,0.0027261680320478376
20200310,5.994466403162055,-0.04583253064071435
20200311,5.4134387351778654,-0.03983842244711866
20200312,4.67949725058916,-0.07023104987098172
20200313,4.90558615263572,-0.18367891857734975
20200314,3.923572003218021,-0.24783257096885425
20200315,3.367149758454106,-0.22971578542230642
20200316,3.3317572892040976,-0.34478938995197517
20200317,5.074132492113565,-0.13147627300692744
20200318,3.6039525691699605,-0.25849802371541486
20200319,3.147268408551069,-0.21888983457687017
20200320,4.0221343873517785,-0.12620739504056333
20200321,4.784727863525589,0.1230222657582245
20200322,3.201782820097245,-0.02362384833669484
20200323,2.5496845425867507,-0.11172467808819198
20200324,2.6587677725118484,-0.3450521028002451
20200325,3.1704814522494082,-0.0619244452743648
20200326,3.923930269413629,0.1109516944089366
20200327,2.6797797010228166,-0.19176495518985126
20200328,2.2846655791190864,-0.35715175491521434
20200329,4.577705451586656,0.19656037592705866
20200330,4.739715189873418,0.312861521040952
20200331,3.780952380952381,0.16031208692007626
20200401,2.676067687348912,-0.07063053784292794
20200402,3.0836012861736335,-0.12004699760571302
20200403,3.8325281803542675,0.16467835419020682
20200404,2.481907894736842,0.028177473659679375
20200405,1.4449013157894737,-0.4475434479710265
20200406,1.266560255387071,-0.49616499064090647
20200407,1.624398073836276,-0.30807918673087187
20200408,1.7538091419406576,-0.13175122077260815
20200409,2.2262773722627736,-0.12247484484440818
20200410,2.6327868852459018,-0.17139161358690935
20200411,3.1998348472336913,0.10256099321383538
